date,id,instruments,s2:mgrs_tile,s2:processing_baseline,s2:dark_features_percentage,proj:code,s2:thin_cirrus_percentage,s2:reflectance_conversion_factor,sat:relative_orbit,s2:nodata_pixel_percentage,platform,s2:snow_ice_percentage,s2:cloud_shadow_percentage,s2:mean_solar_zenith,s2:medium_proba_clouds_percentage,s2:product_type,s2:vegetation_percentage,s2:not_vegetated_percentage,constellation,s2:product_uri,s2:saturated_defective_pixel_percentage,s2:mean_solar_azimuth,s2:datastrip_id,eo:cloud_cover,s2:unclassified_percentage,s2:high_proba_clouds_percentage,sat:orbit_state,s2:generation_time,s2:degraded_msi_data_percentage,s2:water_percentage,s2:datatake_id,s2:granule_id,s2:datatake_type,proj:shape,gsd,epsg,ndvi_mean
2023-01-06 17:07:11.024,S2A_MSIL2A_20230106T170711_R069_T15TVH_20240809T140616,msi,15TVH,05.10,0.015611,EPSG:32615,0.004864,1.03431552591942,69,0.748388,Sentinel-2A,92.903155,0.0,67.1848003205882,1.885953,S2MSI2A,5.3e-05,1.103353,Sentinel 2,S2A_MSIL2A_20230106T170711_N0510_R069_T15TVH_20240809T140616.SAFE,0.0,162.920328456677,S2A_OPER_MSI_L2A_DS_S2RP_20240809T140616_S20230106T171042_N05.10,4.492538,0.000411,2.601722,descending,2024-08-09T14:06:16.000000Z,0.0065,1.484877,GS2A_20230106T170711_039391_N05.10,S2A_OPER_MSI_L2A_TL_S2RP_20240809T140616_A039391_T15TVH_N05.10,INS-NOBS,{10980},10.0,32610,0.012441441583013723
2023-01-06 17:07:11.024,S2A_MSIL2A_20230106T170711_R069_T15TVH_20230107T080743,msi,15TVH,04.00,0.001925,EPSG:32615,0.00464,1.03431552591942,69,0.748996,Sentinel-2A,93.140531,0.0,67.1847999685276,1.743738,S2MSI2A,4.7e-05,1.35889,Sentinel 2,S2A_MSIL2A_20230106T170711_N0400_R069_T15TVH_20230107T080743.SAFE,0.0,162.920330059354,S2A_OPER_MSI_L2A_DS_ESRI_20230107T080743_S20230106T171042_N04.00,3.990623,0.000294,2.242245,descending,2023-01-07T08:07:43.18072Z,0.0065,1.507691,GS2A_20230106T170711_039391_N04.00,S2A_OPER_MSI_L2A_TL_ESRI_20230107T080743_A039391_T15TVH_N04.00,INS-NOBS,{10980},10.0,32610,0.012516158161566105
2023-01-26 17:06:01.024,S2A_MSIL2A_20230126T170601_R069_T15TVH_20240808T190453,msi,15TVH,05.10,0.002654,EPSG:32615,0.549196,1.03241853500335,69,0.858063,Sentinel-2A,99.343002,0.003624,63.8794748573959,0.08933,S2MSI2A,3.3e-05,0.004525,Sentinel 2,S2A_MSIL2A_20230126T170601_N0510_R069_T15TVH_20240808T190453.SAFE,0.0,160.208123617297,S2A_OPER_MSI_L2A_DS_S2RP_20240808T190453_S20230126T170639_N05.10,0.639065,0.0,0.000539,descending,2024-08-08T19:04:53.000000Z,0.0068,0.007091,GS2A_20230126T170601_039677_N05.10,S2A_OPER_MSI_L2A_TL_S2RP_20240808T190453_A039677_T15TVH_N05.10,INS-NOBS,{10980},10.0,32610,-0.0054954667430802415
2023-01-26 17:06:01.024,S2A_MSIL2A_20230126T170601_R069_T15TVH_20230127T191128,msi,15TVH,04.00,0.000201,EPSG:32615,0.218397,1.03241853500335,69,0.858577,Sentinel-2A,99.672544,0.0034,63.8794744524219,0.091863,S2MSI2A,4.7e-05,0.004628,Sentinel 2,S2A_MSIL2A_20230126T170601_N0400_R069_T15TVH_20230127T191128.SAFE,0.0,160.208125284414,S2A_OPER_MSI_L2A_DS_ESRI_20230127T191129_S20230126T170639_N04.00,0.310783,0.0,0.000522,descending,2023-01-27T19:11:28.508983Z,0.0067,0.008397,GS2A_20230126T170601_039677_N04.00,S2A_OPER_MSI_L2A_TL_ESRI_20230127T191129_A039677_T15TVH_N04.00,INS-NOBS,{10980},10.0,32610,-0.00548511800857623
2023-02-05 17:05:11.024,S2A_MSIL2A_20230205T170511_R069_T15TVG_20240814T205731,msi,15TVG,05.10,0.003756,EPSG:32615,0.000269,1.02998453800369,69,0.0,Sentinel-2A,89.719319,0.0,60.4126669207025,3.412935,S2MSI2A,0.032074,6.302441,Sentinel 2,S2A_MSIL2A_20230205T170511_N0510_R069_T15TVG_20240814T205731.SAFE,0.0,158.887179888737,S2A_OPER_MSI_L2A_DS_S2RP_20240814T205731_S20230205T170506_N05.10,3.732778,2.7e-05,0.319574,descending,2024-08-14T20:57:31.000000Z,0.0,0.209604,GS2A_20230205T170511_039820_N05.10,S2A_OPER_MSI_L2A_TL_S2RP_20240814T205731_A039820_T15TVG_N05.10,INS-NOBS,{10980},10.0,32610,-0.02535870759500811
2023-02-05 17:05:11.024,S2A_MSIL2A_20230205T170511_R069_T15TVG_20230206T112057,msi,15TVG,04.00,0.001025,EPSG:32615,0.000252,1.02998453800369,69,2.7e-05,Sentinel-2A,89.883143,0.0,60.4126663824941,3.250965,S2MSI2A,0.032037,6.290605,Sentinel 2,S2A_MSIL2A_20230205T170511_N0400_R069_T15TVG_20230206T112057.SAFE,0.0,158.887182027144,S2A_OPER_MSI_L2A_DS_ESRI_20230206T112057_S20230205T170506_N04.00,3.56981,0.000949,0.318592,descending,2023-02-06T11:20:57.651Z,0.0,0.222431,GS2A_20230205T170511_039820_N04.00,S2A_OPER_MSI_L2A_TL_ESRI_20230206T112057_A039820_T15TVG_N04.00,INS-NOBS,{10980},10.0,32610,-0.021170777347383228
2023-02-08 17:14:51.024,S2A_MSIL2A_20230208T171451_R112_T15TVH_20240813T161319,msi,15TVH,05.10,0.00168,EPSG:32615,0.057382,1.02907368037184,112,16.467503,Sentinel-2A,98.014194,0.003702,59.7578754386309,0.051269,S2MSI2A,2.8e-05,0.107599,Sentinel 2,S2A_MSIL2A_20230208T171451_N0510_R112_T15TVH_20240813T161319.SAFE,0.0,161.33713382681,S2A_OPER_MSI_L2A_DS_S2RP_20240813T161319_S20230208T172035_N05.10,0.108743,0.000159,9.1e-05,descending,2024-08-13T16:13:19.000000Z,0.0262,1.763891,GS2A_20230208T171451_039863_N05.10,S2A_OPER_MSI_L2A_TL_S2RP_20240813T161319_A039863_T15TVH_N05.10,INS-NOBS,{10980},10.0,32610,-0.0068733697378785055
2023-02-08 17:14:51.024,S2A_MSIL2A_20230208T171451_R112_T15TVH_20230209T131126,msi,15TVH,04.00,0.0,EPSG:32615,0.056834,1.02907368037184,112,16.467421,Sentinel-2A,98.017126,0.003686,59.757874346839,0.049704,S2MSI2A,2.8e-05,0.097328,Sentinel 2,S2A_MSIL2A_20230208T171451_N0400_R112_T15TVH_20230209T131126.SAFE,0.0,161.337138870079,S2A_OPER_MSI_L2A_DS_ESRI_20230209T131127_S20230208T172035_N04.00,0.106642,0.000187,0.000103,descending,2023-02-09T13:11:26.83270Z,0.0261,1.774995,GS2A_20230208T171451_039863_N04.00,S2A_OPER_MSI_L2A_TL_ESRI_20230209T131127_A039863_T15TVH_N04.00,INS-NOBS,{10980},10.0,32610,-0.008792754287921098
2023-02-10 17:04:39.024,S2B_MSIL2A_20230210T170439_R069_T15TVH_20240813T213500,msi,15TVH,05.10,0.001034,EPSG:32615,0.002668,1.02842671923168,69,0.873912,Sentinel-2B,99.248272,0.000174,59.7697520407162,0.007447,S2MSI2A,0.000258,0.722737,Sentinel 2,S2B_MSIL2A_20230210T170439_N0510_R069_T15TVH_20240813T213500.SAFE,0.0,158.435799099597,S2B_OPER_MSI_L2A_DS_S2RP_20240813T213500_S20230210T170434_N05.10,0.011671,0.0,0.001556,descending,2024-08-13T21:35:00.000000Z,0.0215,0.015855,GS2B_20230210T170439_030983_N05.10,S2B_OPER_MSI_L2A_TL_S2RP_20240813T213500_A030983_T15TVH_N05.10,INS-NOBS,{10980},10.0,32610,0.017959874502567003
2023-02-10 17:04:39.024,S2B_MSIL2A_20230210T170439_R069_T15TVH_20230211T133908,msi,15TVH,04.00,0.0,EPSG:32615,0.003454,1.02842671923168,69,0.875764,Sentinel-2B,99.24562,0.000174,59.7697520804047,0.006493,S2MSI2A,0.000268,0.725937,Sentinel 2,S2B_MSIL2A_20230210T170439_N0400_R069_T15TVH_20230211T133908.SAFE,0.0,158.435798935787,S2B_OPER_MSI_L2A_DS_ESRI_20230211T133909_S20230210T170434_N04.00,0.011645,0.0,0.001697,descending,2023-02-11T13:39:08.794828Z,0.0108,0.016361,GS2B_20230210T170439_030983_N04.00,S2B_OPER_MSI_L2A_TL_ESRI_20230211T133909_A030983_T15TVH_N04.00,INS-NOBS,{10980},10.0,32610,0.01801629170044458
2023-02-10 17:04:39.024,S2B_MSIL2A_20230210T170439_R069_T15TVG_20240813T213500,msi,15TVG,05.10,0.007207,EPSG:32615,2.98301,1.02842671923168,69,10.187843,Sentinel-2B,40.267056,0.013735,58.9141514539021,0.075676,S2MSI2A,0.499511,55.818117,Sentinel 2,S2B_MSIL2A_20230210T170439_N0510_R069_T15TVG_20240813T213500.SAFE,0.0,158.313420826431,S2B_OPER_MSI_L2A_DS_S2RP_20240813T213500_S20230210T170434_N05.10,3.082875,0.001903,0.02419,descending,2024-08-13T21:35:00.000000Z,0.0209,0.309596,GS2B_20230210T170439_030983_N05.10,S2B_OPER_MSI_L2A_TL_S2RP_20240813T213500_A030983_T15TVG_N05.10,INS-NOBS,{10980},10.0,32610,0.029792295809089986
2023-02-10 17:04:39.024,S2B_MSIL2A_20230210T170439_R069_T15TVG_20230211T110539,msi,15TVG,04.00,0.002748,EPSG:32615,2.973954,1.02842671923168,69,10.184797,Sentinel-2B,40.176556,0.013044,58.9141515476781,0.08325,S2MSI2A,0.498781,55.904692,Sentinel 2,S2B_MSIL2A_20230210T170439_N0400_R069_T15TVG_20230211T110539.SAFE,0.0,158.313420451724,S2B_OPER_MSI_L2A_DS_ESRI_20230211T110540_S20230210T170434_N04.00,3.08253,0.001954,0.025327,descending,2023-02-11T11:05:39.988320Z,0.0102,0.319696,GS2B_20230210T170439_030983_N04.00,S2B_OPER_MSI_L2A_TL_ESRI_20230211T110540_A030983_T15TVG_N04.00,INS-NOBS,{10980},10.0,32610,0.02982673584249426
